"Region","year","month","n_flights","n_delay","prop_delay","strat.size","prop_se","upper","lower"
"Central",2010,12,1910,75,0.0392670157068063,77364,0.00439019701651845,0.0478718018591824,0.0306622295544301
"Central",2011,1,1631,48,0.029429797670141,64813,0.00413312876270708,0.0375307300450469,0.0213288652952351
"Central",2011,2,1639,53,0.0323367907260525,61553,0.00431214314563499,0.0407885912914971,0.0238849901606079
"Central",2011,3,1851,21,0.0113452188006483,73031,0.00243090662608259,0.0161097957877702,0.00658064181352643
"Central",2011,4,1837,31,0.0168753402286336,71168,0.00296698654413808,0.0226906338551443,0.011060046602123
"Central",2011,5,1738,33,0.0189873417721519,73577,0.00323577698263453,0.0253294646581156,0.0126452188861882
"Central",2011,6,1808,41,0.0226769911504425,74500,0.00345937683778581,0.0294573697525027,0.0158966125483823
"Central",2011,7,1877,30,0.0159829515183804,75897,0.00285940466209811,0.0215873846560927,0.0103785183806681
"Central",2011,8,1835,21,0.0114441416893733,74954,0.00245307185050496,0.016252162516363,0.00663612086238357
"Central",2011,9,1647,6,0.00364298724954463,67571,0.00146677332553861,0.0065178629676003,0.000768111531488958
"Central",2011,10,1772,9,0.00507900677200903,70292,0.00166774689089481,0.00834779067816285,0.0018102228658552
"Central",2011,11,1647,10,0.00607164541590771,66044,0.00189074063781751,0.00977749706603004,0.00236579376578539
"Central",2011,12,1634,13,0.00795593635250918,67224,0.00217157422970245,0.012212221842726,0.00369965086229237
"Central",2012,1,1596,50,0.031328320802005,65125,0.00430812858968592,0.0397722528377894,0.0228843887662206
"Central",2012,2,1542,17,0.0110246433203632,62229,0.0026267885404557,0.0161731488596563,0.00587613778106999
"Central",2012,3,1756,34,0.0193621867881549,69791,0.00324757690360842,0.0257274375192274,0.0129969360570824
"Central",2012,4,1677,14,0.00834824090638044,69014,0.00219532263291071,0.0126510732668854,0.00404540854587544
"Central",2012,5,1834,31,0.0169029443838604,71756,0.00297218581330104,0.0227284285779304,0.0110774601897904
"Central",2012,6,1851,13,0.00702323068611561,72157,0.00191650125196881,0.0107795731399745,0.00326688823225674
"Central",2012,7,1891,36,0.0190375462718139,73523,0.00310272085770789,0.0251188791529213,0.0129562133907064
"Central",2012,8,1831,19,0.0103768432550519,73050,0.00233899790881763,0.0149612791563344,0.00579240735376933
"Central",2012,9,1708,13,0.00761124121779859,66578,0.00207638784103903,0.0116809613862351,0.00354152104936209
"Central",2012,10,1777,13,0.00731570061902082,71088,0.00199670999757624,0.0112292522142703,0.00340214902377139
"Central",2012,11,1656,8,0.00483091787439614,65372,0.00168264551187003,0.0081289030776614,0.00153293267113087
"Central",2012,12,1565,44,0.0281150159744409,63733,0.00412818827582333,0.0362062649950546,0.0200237669538272
"Central",2013,1,1656,34,0.0205314009661836,66988,0.00344246887930645,0.0272786399696242,0.0137841619627429
"Central",2013,2,1535,65,0.0423452768729642,62019,0.00507752603306226,0.0522972278977662,0.0323933258481621
"Central",2013,3,1844,45,0.0244034707158351,73498,0.00354879337106534,0.0313591057231232,0.0174478357085471
"Central",2013,4,1868,46,0.0246252676659529,73657,0.00354100067872001,0.0315656289962441,0.0176849063356617
"Central",2013,5,1926,40,0.0207684319833853,75554,0.00320864715031865,0.0270573803980098,0.0144794835687607
"Central",2013,6,1898,70,0.0368809272918862,75766,0.00427265899360767,0.0452553389193572,0.0285065156644152
"Central",2013,7,1964,22,0.0112016293279022,77627,0.00234514498286902,0.0157981134943255,0.00660514516147897
"Central",2013,8,1937,30,0.0154878678368611,76719,0.00277077173032941,0.0209185804283068,0.0100571552454155
"Central",2013,9,1682,13,0.00772889417360285,69619,0.00210998461414128,0.0118644640173198,0.00359332432988594
"Central",2013,10,1885,18,0.00954907161803713,73391,0.00221159931827744,0.0138838062818609,0.00521433695421335
"Central",2013,11,1661,19,0.0114388922335942,66861,0.00257737175217081,0.016490540867849,0.00638724359933944
"Central",2013,12,1601,67,0.0418488444722049,66042,0.00494503972864181,0.0515411223403428,0.0321565666040669
"Hawaii",2003,6,43,0,0,1712,0,0.0697674418604651,0
"Hawaii",2003,7,52,0,0,1867,0,0.0576923076923077,0
"Hawaii",2003,8,40,0,0,1906,0,0.075,0
"Hawaii",2003,9,43,0,0,1596,0,0.0697674418604651,0
"Hawaii",2003,10,41,0,0,1627,0,0.0731707317073171,0
"Hawaii",2003,11,119,0,0,5080,0,0.0252100840336134,0
"Hawaii",2003,12,159,0,0,5372,0,0.0188679245283019,0
"Hawaii",2004,1,137,0,0,5332,0,0.0218978102189781,0
"Hawaii",2004,2,128,1,0.0078125,5103,0.0077138961667169,0.0229317364867651,0
"Hawaii",2004,3,145,0,0,5574,0,0.0206896551724138,0
"Hawaii",2004,4,118,0,0,5408,0,0.0254237288135593,0
"Hawaii",2004,5,141,0,0,5487,0,0.0212765957446809,0
