"year","month","origin","avg_del","n_flights","n_wdelay"
2003,7,"SJU",0.957379991027366,2229,2229
2003,4,"MLB",NA,222,0
2003,2,"FLL",NA,4941,0
2003,5,"MLU",NA,294,0
2003,9,"GUC",0,10,10
2003,9,"MBS",0.857615894039735,302,302
2003,9,"ISP",0.152744630071599,838,838
2003,5,"OMA",NA,1754,0
2003,3,"OAK",NA,5499,0
2003,2,"MTJ",NA,212,0
2003,12,"MKE",0.314485729671513,1857,1857
2003,2,"BIS",NA,112,0
2003,12,"MCO",0.0163511187607573,8134,8134
2003,1,"OME",NA,76,0
2003,6,"RAP",1.20101781170483,393,393
2003,6,"MLI",0,188,188
2003,12,"CSG",0.50561797752809,178,178
2003,12,"MSN",0.375896700143472,697,697
2003,4,"CVG",NA,7278,0
2003,7,"LAX",0.126652496241381,19289,19289
2003,7,"BTM",0.176470588235294,119,119
2003,9,"ICT",0.0318471337579618,785,785
2003,2,"BTR",NA,580,0
2003,1,"DRO",NA,154,0
2003,12,"CIC",0,90,90
2003,10,"HPN",0.426512968299712,694,694
2003,9,"CDV",0,60,60
2003,12,"RDD",0.445652173913043,184,184
2003,9,"BRO",0,137,137
2003,11,"DBQ",0,89,89
2003,7,"MOB",1.87645687645688,429,429
2003,9,"WRG",1.71666666666667,60,60
2003,12,"LGA",0.948367166813769,9064,9064
2003,12,"CLL",0.359420289855072,345,345
2003,2,"PNS",NA,504,0
2003,4,"BQK",NA,120,0
2003,12,"MOT",0.0576923076923077,104,104
2003,1,"GRB",NA,379,0
2003,5,"MFE",NA,269,0
2003,1,"HNL",NA,1000,0
2003,1,"CLE",NA,7549,0
2003,8,"HLN",1.0650406504065,123,123
2003,3,"BFL",NA,263,0
2003,4,"OME",NA,90,0
2003,6,"BHM",0.602572347266881,1555,1555
2003,3,"EVV",NA,362,0
2003,5,"BOI",NA,1158,0
2003,11,"PNS",0.786389413988658,529,529
2003,10,"FAT",0.27154046997389,1149,1149
2003,9,"DEN",0.150980879066302,12081,12081
2003,9,"ACY",0,12,12
2003,2,"DBQ",NA,80,0
2003,5,"CRW",NA,453,0
2003,6,"ACT",3.62790697674419,172,172
2003,3,"EUG",NA,322,0
2003,5,"RSW",NA,1430,0
2003,6,"PHX",0.0377614390748804,14009,14009
2003,9,"SRQ",0,282,282
2003,3,"MSP",NA,12915,0
2003,5,"TRI",NA,246,0
2003,6,"DCA",0.383292383292383,6512,6512
2003,11,"BTR",1.51373182552504,619,619
2003,8,"HTS",2.32608695652174,92,92
2003,8,"SGF",0.874251497005988,334,334
2003,12,"AVP",0,62,62
2003,5,"MRY",NA,624,0
2003,12,"BRW",0,59,59
2003,1,"MLB",NA,216,0
2003,5,"CHS",NA,816,0
2003,6,"GGG",0,116,116
2003,4,"HNL",NA,968,0
2003,5,"COD",NA,61,0
2003,6,"TWF",0,150,150
2003,8,"AVL",1.00297619047619,336,336
2003,1,"BQK",NA,122,0
2003,12,"JNU",0.409836065573771,305,305
2003,4,"GRB",NA,353,0
2003,8,"ATL",0.477282893475621,31298,31298
2003,8,"PIA",0.262962962962963,270,270
2003,4,"CLE",NA,7488,0
2003,6,"TYR",0,236,236
2003,6,"DFW",2.25035319688462,27605,27605
2003,3,"ABQ",NA,3060,0
2003,11,"BIS",2.35672514619883,171,171
2003,11,"MTJ",3.38636363636364,176,176
2003,6,"AZO",0.142857142857143,294,294
2003,8,"ATW",0.967741935483871,62,62
2003,5,"RDU",NA,4237,0
2003,4,"DRO",NA,150,0
2003,10,"BZN",0.238235294117647,340,340
2003,1,"CVG",NA,8385,0
2003,6,"CYS",200,1,1
2003,9,"TUL",0.0709639266706091,1691,1691
2003,9,"DLG",0,29,29
2003,11,"FLL",0.868384812118827,5083,5083
2003,10,"PSP",1.04471101417666,917,917
2003,6,"LSE",0,128,128
2003,11,"FLO",1.34117647058824,85,85
2003,2,"LFT",NA,347,0
2003,8,"MFR",0.289693593314763,359,359
2003,8,"SNA",0.255767799553461,4031,4031
2003,8,"BUR",0.29595015576324,2247,2247
2003,11,"CSG",0.172413793103448,174,174
2003,10,"VIS",0,62,62
2003,2,"JNU",NA,280,0
2003,8,"SYR",0.487462387161484,997,997
2003,5,"FWA",NA,439,0
2003,11,"MCO",0.236297828335057,7736,7736
2003,5,"TVC",NA,207,0
2003,11,"MKE",0.23289246693502,1739,1739
2003,8,"ORD",1.47288566009836,31109,31109
2003,1,"SEA",NA,8322,0
2003,4,"BET",NA,94,0
2003,10,"SMX",2.22404371584699,183,183
2003,5,"DSM",NA,841,0
2003,8,"SPS",0.798850574712644,174,174
2003,3,"MBS",NA,362,0
2003,3,"GUC",NA,41,0
2003,4,"FAR",NA,357,0
2003,4,"YUM",NA,124,0
2003,12,"LFT",0.0673400673400673,297,297
2003,7,"GSP",0.618343195266272,1014,1014
2003,9,"OAK",0.0366660704703989,5591,5591
2003,3,"ISP",NA,989,0
2003,4,"CPR",NA,120,0
